 Catalogue of Wide-Field Plate Archives (version 5.7 January 2012)																															
WFPDB Instrument Identifier		Original Name of the Instrument	Location of the Archive		Observatory			Marsden's No.	Time Zone	East Longitude	Latitude	Altitude	Clear Aperture		Mirror Diameter	Focal Length	Scale	Type	Field Size	Years of Operation		P/F	Number of Direct Plates		Orig.Plate Number from.. to..	Arch. Type	Number of Sp. Plates	Arch.  Type	Quality	Astronomer in Charge	
			Site	Country	Name	Site	Country		h	o     '  	o     '  	m	m		m	m	"""/mm"		o	from	to		  								
1			2	3	4	5	6	7	8	9	10	11	12		13	14	15	16	17	18	19	20	21		22	23	24	25	26	27	
SON006F	***	Zeiss Tessar (Te4)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1956			12531			C			A	P.Kroll	
SON006G	***	Zeiss Tessar (Te6)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1957			11427			C			A	P.Kroll	
SON006H	***	Zeiss Tessar (Te8)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			11212			C			A	P.Kroll	
SON006I	***	Zeiss Tessar (Te13)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			9057			C			A	P.Kroll	
SON006J	***	Zeiss Tessar (Te14)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			9050			C			A	P.Kroll	
SON006K	***	Zeiss Tessar (Te15)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			9081			C			A	P.Kroll	
SON006L	***	Zeiss Tessar (Te16)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			8668			C			A	P.Kroll	
SON006M	***	Zeiss Tessar (Te17)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			8680			C			A	P.Kroll	
SON006N	***	Zeiss Tessar (Te18)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			8679			C			A	P.Kroll	
SON006O	***	Zeiss Tessar (Te19)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1958			8804			C			A	P.Kroll	
SON007A	***	Zeiss Tessar	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1958			9344			C			A	P.Kroll	
SON007B	***	Zeiss Tessar	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1958			9337			C			A	P.Kroll	
SON007C	***	Zeiss Tessar (Te20)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1963	1965		925			C			A	P.Kroll	
SON007D	***	Zeiss Tessar (Te21)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1963	1965		942			C			A	P.Kroll	
SON007E	***	Zeiss Tessar (Te22)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1963	1965		906			C			A	P.Kroll	
SON007F	***	Zeiss Tessar (Te23)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.07		0.25	830	Cam	30.0	1963	1965		890			C			A	P.Kroll	
SON008A	***	Landscape Objective (C)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.08		0.37	560	Cam	18.7	1925	1939		300			C			A	P.Kroll	
SON008B	***	Busch Objective (D)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.08		0.20	1030	Cam	34.3	1926	1928		193			C			A	P.Kroll	
SON009	***	Zeiss Tessar (Te7)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.09		0.30	690	Cam	30.7	1957	1963		682			C			A	P.Kroll	
SON010	***	"Tachar (T, Ta)"	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.10		0.25	830	Cam	27.7	1934	1956		7080			C			A	P.Kroll	
SON014A	***	Ernemann Ernostar (E1)	Sonneberg	Germany	"Son.,Babel.,Windhoek "	"Son.,Babel.,Wind."	Germany	031	1	11 11.5	50 22.7	640		0.14		0.24	860	Cam	43.0	1926	1945		5256			C			A	P.Kroll	
SON014B	***	Zeiss Ernostar (E2)	Sonneberg	Germany	"Son.,Babel.,Windhoek "	"Son.,Babel.,Wind."	Germany	031	1	11 11.5	50 22.7	640		0.14		0.24	860	Cam	43.0	1926	1945		6854			C			A	P.Kroll	
SON014C	***	Ernemann Ernostar (E)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.14		0.24	860	Cam	43.0	1928	1957		11176			C			A	P.Kroll	
SON014D	***	Zeiss Triplet (F)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.14		0.70	300	Cam	15.0	1928	1969		6248			C			A	P.Kroll	
SON014E	***	Ernemann Ernostar (E3)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.14		0.24	860	Cam	43.0	1942	1945		1331			C			A	P.Kroll	
SON014F		"Zeiss Tessar (WT, D)"	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.14		0.70	300	Cam	15.0	1950	1958		1423			T			A	P.Kroll	
SON017	***	Zeiss Triplet (A)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.17		1.20	170	Cam	9.4	1923	1971		7976			C			A	P.Kroll	
SON020	***	Double Schmidt (DS)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.20	0.30	0.30	690	Sch	11.5	1960	1976		5322			C			A	P.Kroll	
SON035		Parabolic mirror (S)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640			0.35	1.40	150	Rfl	3.3	1936	1950		382			T			A	P.Kroll	
SON040A	***	Zeiss Quadruplet (GA)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.40		1.60	130	Ast	10.8	1938	1945		1658			C			A	P.Kroll	
SON040B	***	Zeiss Quadruplet (GB)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.40		2.00	100	Ast	8.3	1960			6998			C			A	P.Kroll	
SON040C	***	Zeiss Quadruplet (GC)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.40		1.60	130	Ast	10.8	1961			11238			C			A	P.Kroll	
SON050		50/70 cm Schmidt (Sc)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.50	0.70	1.72	120	Sch	4.3	1952			8900			TC			A	P.Kroll	
SPR061			Swarthmore	USA PA	Sproul	Swarthmore	USA PA		–5	–75 21.4	39 54.3	63		0.61		10.93	19	Rfr	0.8	1911			100000			TC				E.Jensen	
STE010	**		Moscow	Russia	Sternberg	Moscow	Russia	105	3	37 32.7	55 42.0	195		0.10		0.64		Cam	28.0	1895	1933		1100			TC				S.Shugarov	
STE016	**		Moscow	Russia	Sternberg	Moscow	Russia	105	3	37 32.7	55 42.0	195		0.16		0.84		Rfr	22.0	1933	1956		2700			TC				S.Shugarov	
SYD033		CdC Astrograph	Sydney	Australia	Sydney Obs.	Sydney	Australia	420	10	151 12.0	–33 51.7	44		0.33		3.43	60	Ast					20000							A.Vaughan	
TAC033		CdC Astrograph	Mexico City	Mexico	Tacubaya Obs.	Mexico City	Mexico	724	-6	–99 08.0	19 26.0			0.33		3.43	60	Ast	2.0	1900	1938		1259								
TAR016		Petzval Astrograph	Tartu	Estonia	Tartu	W. Struve Obs.	Estonia	075	1	26 28.0	58.16.0	 		0.16		0.78	264	Ast		1927	1987		4000			T			B	K.Annuk	
TAR023			Pulkovo	Russia	Tarija St.	Tarija	Bolivia	820	–4	–64 30.0	–21 37.5	2000		0.23		2.26	91	Ast	4.0	1975			17000			TC			B	N.Bronnikova	
TAS033		 	Tashkent	Uzbekistan	Tashkent Ast.Obs. 	Tashkent	Uzbekistan	 192	5	69 17.0	41 00.0	450	 	0.33		3.43	60	Ast	2.0	1895			3000							M.Muminov	
TAS040A	**	DAZ	Kyiv	Ukraine	Tashkent Ast.Obs. 	Kitab Station	Uzbekistan	186	5	66 53.0	39 08.0	690	2x	0.40		3.00	69	Ast	5.5	1981	1989		96			C				V.Golovnya	
TAS040A		DAZ	Tashkent	Uzbekistan	Tashkent Ast.Obs. 	Kitab Station	Uzbekistan	186	5	66 53.0	39 08.0	690	2x	0.40		3.00	69	Ast	6.0	1976			1000							M.Muminov	
TAS040B	**	DAZ	Kyiv	Ukraine	Tashkent Ast.Obs. 	Kitab Station	Uzbekistan	186	5	66 53.0	39 08.0	690	2x	0.40		3.00	69	Ast	5.5	1981	1989		5			C				V.Golovnya	
TAS040B		DAZ	Tashkent	Uzbekistan	Tashkent Ast.Obs. 	Kitab Station	Uzbekistan	186	5	66 53.0	39 08.0	690	2x	0.40		3.00	69	Ast	6.0	1976			1000							M.Muminov	
TAU134	***		Tautenburg	Germany	Karl Schwarzschild	Tautenburg	Germany	033	1	11 42.8	50 58.9	331		1.34	2.00	4.00	52	Sch	3.4	1960			8141			C	944	C	A	H.Meusinger	
TOK016	**		Mitaka	Japan	Tokyo	Mitaka	Japan	388	9	139 32.5	35 40.3	62		0.16		0.79	262	Cam	15.7	1943	1962		703			C				T.Nakamura	
TOK020	**		Mitaka	Japan	Tokyo	Mitaka	Japan	388	9	139 32.5	35 40.3	62		0.20		1.27	162	Cam	9.7	1943	1962		5000			C				T.Nakamura	
TON066			Tonantzintla	Mexico	Tonantzintla	Tonantzintla	Mexico		–6	–98 18.8	19 02.0	2150		0.66	0.76	2.17	95	Sch	5.5	1948	1995		10000	:						R.Hernandez	
TOR020			Torun	Poland	Torun	Torun	Poland	092	1	18 33.3	53 05.8	91		0.20		1.50	138	Ast		1949			6000			TC				A.Wosczyk	
TOR060	***		Torun	Poland	Torun	Torun	Poland	092	1	18 33.3	53 05.8	91		0.60	0.90	1.81	114	Sch	5.0	1962			134			C	2692	C		A.Wosczyk	
TOU033		CdC Astrograph	Toulouse	France	University Obs.Toulouse	Toulouse	France	004	1	01 27.8	43 36.7 	195		0.33		3.43	60	Ast	2.0				10000							E. Davoust	
TUR034	**		Tuorla	Finland	Turku Univ. Obs.	Tuorla	Finland	063	2	22 26.8	60 25.0	28			0.34	0.69	300	Rfl	10.0	1935			5000	 		C				L.Takalo	
TUR050A	**		Tuorla	Finland	Turku Univ. Obs.	Tuorla	Finland	063	2	22 26.8	60 25.0	28		0.50	0.50	1.03	200	Sch	6.7	1935			5000	 		C				L.Takalo	
TUR050B			Tuorla	Finland	Turku Univ. Obs.	Tuorla	Finland	063	2	22 26.8	60 25.0	40		0.50	0.60	1.03	200	Sch	5.5	1980			200			T				L.Takalo	
TUR070			Tuorla	Finland	Turku Univ. Obs.	Tuorla	Finland	063	2	22 26.8	60 25.0	40		0.70	0.70	1.70	120	Sch	5.5	1975			500			T				T. Korhonen	
UIO010		"4"" Ross Camera"	Williams Bay	USA WI	Uni. Illinois Obs.	Urbana-Champaign	USA IL		-6	–88 13.5	40 06.5	222		0.10		0.71	290	Cam	20.1	1939	1980		1050							K.Cudworth	
UNI025			Flagstaff	USA AZ	Union	Johannesburg	South Africa	078	2	27 52.6	–25 46.4	1220		0.25		1.13	182	Cam	4.0	1950	1950		50							B.Skiff	
UPS015			Uppsala	Sweden	Uppsala Obs.	Uppsala	Sweden	549	1	17 37.5	59 51.5	21		0.15		1.48	139	Ast	4.0	1914	1982		1400			C	400	C	D	N.Sjolander	
UPS031			Uppsala	Sweden	Uppsala Obs.	Uppsala	Sweden	549	1	17 37.5	59 51.5	21		0.31	0.38	0.69	300	Sch	7.5	1941	1957		800			C	369	C	D	N.Sjolander	
UPS050			Uppsala	Sweden	Uppsala South. St.	Mt. Stromlo Obs.	Australia	414	–10	149 00.5	–35 19.2	767		0.50	0.66	1.75	120	Sch	3.7	1957	1982		14000			C	4500	C	AD	N.Sjolander	
UPS050			Uppsala	Sweden	Uppsala South. St.	Siding Spring Obs.	Australia	413	–10	149 04.2	–31 16.5	1145		0.50	0.66	1.75	120	Sch	3.7	1982	1987		1500			C			AD	N.Sjolander	
UPS100			Uppsala	Sweden	Kvistaberg Obs.	Bro	Sweden	049	1	17 36.4	59 30.1			1.00	1.35	2.99	69	Sch	4.0	1963	1999		2339			C	867	C	D	N.Sjolander	
VAT033		Photographic Doublet	Castel Gandolfo	Vatican	Vatican	Castel Gandolfo	Vatican	036	1	12 39.1	41 44.8	450		0.33		3.43	60	Ast	4.2	1894	1953		1700			C				A.Omizzolo	
VAT033		Photographic Doublet	Serra la Nave	Italy	Catania	Castel Gandolfo	Vatican	036	1	12 39.1	41 44.8	450		0.33		3.43	60	Ast	4.2	1960			30							E.Marilli	
VAT040		Zeiss Refractor Quadruplet	Castel Gandolfo	Vatican	Vatican	Castel Gandolfo	Vatican	036	1	12 39.1	41 44.8	450		0.40		2.00	103	Ast	8.0	1935	1974		1625			C	3111	C		A.Omizzolo	
VAT063		63/98 Schmidt	Castel Gandolfo	Vatican	Vatican	Castel Gandolfo	Vatican	036	1	12 39.1	41 44.8	450		0.63	0.98	2.40	86	Sch	4.5	1957	1986		794			C	1326	C		A.Omizzolo	
VIE034			Vienna	Austria	Vienna Univ. Obs.	Vienna	Austria	045	1	16 20.2	48 13.9	241		0.34		0.68	140	Ast	5.5	1910			250	:					B	A.Schnell	
VIE067			Vienna	Austria	Vienna Univ. Obs.	Vienna	Austria	045	1	16 20.2	48 13.9	241		0.67		10.58	19	Rfr	3.3	1982			200	:					B	A.Schnell	
VVL051		Clark Refractor	Middletown	USA CT	Van Vleck Obs.	Middletown	USA CT	298	-5	–72 39.5	41 33.3	12		0.51				Rfr	1.0	1925	1995		20000							W.Herbst	
WIN005		Zeiss Tessar	Sonneberg	Germany	Windhoek St.	Windhoek	Namibia		2	17 03.8	–22 35.4	1685		0.05		0.16	1250	Cam	42.0	1952	1953		1912			T			A	P.Kroll	
WIN013		"Zeiss Ernostar (UE, WE)"	Sonneberg	Germany	Windhoek St.	Windhoek	Namibia		2	17 03.8	–22 35.4	1685		0.13		0.24	860	Cam	43.0	1934	1938		1975			T			A	P.Kroll	
WSO061		Burrell Schmidt	Flagstaff	USA AZ	Warner and Swasey	East Cleveland	USA OH	773	-5	–81 34.1	41 32.2	247		0.61	0.91	2.14	97	Sch	5.2								1000			B.Skiff	
WSO061		Burrell Schmidt	Montarey	USA CA	Warner and Swasey	East Cleveland	USA OH	773	-5	–81 34.1	41 32.2	247		0.61	0.91	2.14	97	Sch	5.2	1941	1970		300							B.Weaver	
WSO061		Burrell Schmidt	Muncie	USA IN	Warner and Swasey	Kitt Peak	USA AZ	773	–7	–111 35.9	31 57.6	2084		0.61	0.91	2.14	97	Sch	5.2	1977	1986		140							T.Roberson	
WSO061		Burrell Schmidt	Rosman	USA NC	Warner and Swasey	East Cleveland	USA OH	773	-5	–81 34.1	41 32.2	247		0.61	0.91	2.14	97	Sch	5.2	1941	1957		4000				7000	C		T.Barker	
WSO061		Burrell Schmidt	Rosman	USA NC	Warner and Swasey	Montville	USA OH	774	-5	–81 04.5	41 35.0	400		0.61	0.91	2.14	97	Sch	5.2	1957	1979		3000				7000	C		T.Barker	
WSO061		Burrell Schmidt	Rosman	USA NC	Warner and Swasey	Kitt Peak	USA AZ	773	–7	–111 35.9	31 57.6	2084		0.61	0.91	2.14	97	Sch	5.2	1979	1993		1000							T.Barker	
YAL066		"26"" Yale-Columbia Refractor"	Charlottesville	USA VA	Johannesburg Yale St.	Johannesburg	South Africa	081	2	27 52.6	–26 10.9	1806		0.66		10.86	19	Rfr		1925	1952		35000							R.Patterson	
YAL066		"26"" Yale-Columbia Refractor"	Charlottesville	USA VA	Yale-Columbia St.	Mt. Stromlo	Australia	414	10	149 00.5	–35 19.2	767		0.66		10.86	19	Rfr		1952	1992		35000							R.Patterson	
YAL066			Leiden	Netherlands	Yale-Columbia St.	Johannesburg	South Africa	077	2	28 01.8	–26 11.5	1750		0.66		10.96	19	Rfr		1925	1955		250	:		T			A	I.van Houten	
YAL066			Leiden	Netherlands	Yale-Columbia St.	Mt. Stromlo	Australia	414	10	149 00.5	–35 19.2	767		0.66		10.96	19	Rfr		1955			250	:		T			A	I.van Houten	
YER025		Bruce Astrograph	Williams Bay	USA WI	Yerkes Obs. Chicago Uni.	Williams Bay	USA WI	754	-6	–88 33.4	42 34.2	334		0.25		1.28	119	Ast	7.0	1905			270			TC				K.Cudworth	
YER060		"23 1/2"" Reflector"	Williams Bay	USA WI	Yerkes Obs. Chicago Uni.	Williams Bay	USA WI	754	-6	–88 33.4	42 34.2	334			0.60	2.40	86	Rfl	2.0	1900	1930		15000							K.Cudworth	
ZVE040		Astrograph	Zvenigorod	Russia	Zvenigorod Obs.	Zvenigorod	Russia	102	3	36 45.5	55 42.0	236		0.40		2.00	16	Ast	8.5	1978	1989		4255			TC				S.Vereschagin	
																															
																															
																															
																															
